split,209
taxi,101
traffic,102
their,113
both,228
drinking,114
cheers,119
charge,110
pref,212
shepard,155
direction,100
students,169
hoping,127
locations,312
dropped,172
jane,154
even,147
village,203
uptown,125
information,206
july,4573
availability,111
front,221
school,133
those,107
ideally,147
spacious,660
december,2080
september,1692
which,142
winter,100
selling,179
response,141
leslie,318
shopping,138
amount,105
reasonable,156
planning,107
commerce,103
gate,100
mar,1090
sept,3281
peterborough,181
weekly,105
lincoln,142
fields,135
number,123
chance,125
drinks,381
into,144
vehicle,200
wellesley,105
feb,5489
avenue,152
february,1055
options,137
chinese,596
chip,256
jan,5358
mel,352
diner,312
won,116
english,587
black,587
january,1748
tnt,115
dec,4874
water,122
cab,208
nov,4507
november,1728
smoking,108
october,2547
detail,138
thanksgiving,102
immediately,114
hidden,148
eating,113
vehicles,211
